ID,CSE1,CSE2,CSE3,CSE4,SECTION
4423,bffdd71asdgfw,#%%$50xfsadf,#%%$85dsffw,bffdd68asdgfw,D
4424,**$@%34dsfy,ddsfs69vgfs,**$@%30vgfs,#%%$49**^&$,D
4425,bffdd53xdff,dsfe93**&%&,cxscc25**^&$,ddfs63vgfs,D
4426,#%%$57xdff,dsfe69**&%&,sada43dsfy,ddsfs42vgfs,A
4427,H%d%63xdff,sada54**^&$,dsfe79$*%^&,ddfs55$*%^&,D
4428,#%%$65asdgfw,H%d%93xdff,ddfs91**^&$,ddfs40**&%&,D
4429,**$@%37xfsadf,#%%$43$*%^&,dsfe72**^&$,dsfe79dsffw,D
4430,H%d%84vgfs,sada54dsfy,**$@%66adsfy,ddsfs43**^&$,C
4431,ddsfs51vgfs,edf54$*%^&,cxscc76dsfy,ddsfs49$*%^&,C
4432,**$@%62**^&$,ddfs42$*%^&,dsfe44dsfy,edf73**^&$,B
4433,sada45**&%&,dsfe51**^&$,dsfe25asdgfw,dsfe41$*%^&,A
4434,H%d%72$*%^&,#%%$27asdgfw,H%d%41xdff,dsfe65$*%^&,A
4435,edf56dsffw,ddsfs85xdff,ddfs53$*%^&,bffdd65$*%^&,C
4436,ddsfs35$*%^&,**$@%83**&%&,edf81vgfs,cxscc43dsfy,A
4437,H%d%70xdff,bffdd86**^&$,#%%$50$*%^&,cxscc68dsfy,A
4438,ddfs76xfsadf,H%d%35**&%&,cxscc76adsfy,dsfe29adsfy,B
4439,bffdd33dsfy,sada60adsfy,H%d%66dsfy,sada56$*%^&,C
4440,edf45**&%&,ddsfs80xfsadf,H%d%49dsfy,sada81vgfs,B
4441,cxscc28adsfy,ddfs39adsfy,cxscc75**^&$,cxscc34xfsadf,A
4442,ddsfs80dsffw,**$@%46asdgfw,bffdd57asdgfw,cxscc50xfsadf,A
4443,**$@%28dsfy,ddsfs85**&%&,#%%$50dsfy,ddfs52adsfy,D
4444,ddsfs33asdgfw,sada49**&%&,#%%$69xfsadf,H%d%74dsfy,D
4445,bffdd26asdgfw,bffdd31**^&$,ddfs36xdff,ddsfs77xdff,D
4446,bffdd83asdgfw,ddfs36$*%^&,ddsfs88xdff,dsfe76**&%&,B
4447,H%d%28adsfy,cxscc67$*%^&,bffdd75asdgfw,**$@%60dsffw,A
4448,#%%$89vgfs,bffdd52adsfy,edf89**&%&,ddfs76**^&$,B
4449,dsfe35dsffw,sada26adsfy,bffdd84dsfy,cxscc73vgfs,A
4450,sada36adsfy,ddfs49**^&$,H%d%29dsffw,sada35dsfy,C
4451,#%%$34**&%&,**$@%29dsfy,ddsfs91**^&$,edf91$*%^&,C
4452,sada86vgfs,H%d%49**&%&,bffdd86xdff,H%d%81**^&$,C
4453,sada94**^&$,H%d%56adsfy,bffdd91dsffw,cxscc39$*%^&,B
4454,sada75vgfs,H%d%88dsfy,bffdd43$*%^&,edf30**&%&,A
4455,ddfs93xfsadf,dsfe79dsfy,dsfe74vgfs,cxscc34dsfy,D
4456,edf35adsfy,edf61$*%^&,sada34**^&$,H%d%39xdff,B
4457,bffdd93vgfs,dsfe66$*%^&,cxscc35vgfs,bffdd89xdff,D
4458,**$@%60**&%&,#%%$86dsfy,#%%$48xfsadf,ddfs29adsfy,C
4459,ddfs50xdff,ddfs77**&%&,ddsfs32dsffw,cxscc91**^&$,D
4460,**$@%64adsfy,ddfs88xdff,H%d%79asdgfw,cxscc66asdgfw,A
4461,H%d%78**&%&,#%%$50adsfy,bffdd29xfsadf,edf73$*%^&,D
4462,sada70adsfy,ddfs77**^&$,H%d%51vgfs,edf47dsfy,A
4463,**$@%51**&%&,edf59**&%&,**$@%63adsfy,ddsfs61dsffw,B
4464,ddsfs62**&%&,H%d%42xdff,H%d%44dsfy,edf46$*%^&,B
4465,cxscc67**&%&,dsfe70asdgfw,sada60**&%&,edf38**&%&,C
4466,dsfe53$*%^&,bffdd82**&%&,#%%$86**^&$,**$@%84xdff,B
4467,sada76**&%&,sada91xfsadf,**$@%52asdgfw,**$@%93asdgfw,C
4468,bffdd58dsffw,#%%$65asdgfw,**$@%27xfsadf,sada91$*%^&,C
4469,edf34vgfs,ddsfs80$*%^&,**$@%89xdff,sada25dsfy,C
4470,bffdd57asdgfw,edf40dsfy,dsfe58xdff,edf85**&%&,D
4471,ddfs28dsfy,ddfs33dsffw,edf85xdff,H%d%52**&%&,B
4472,#%%$91xfsadf,#%%$39asdgfw,**$@%92$*%^&,ddfs40**^&$,C
4473,sada25xdff,**$@%44vgfs,edf70xfsadf,edf90**&%&,B
4474,ddsfs25**^&$,cxscc38$*%^&,edf93**^&$,**$@%84dsfy,A
4475,#%%$72dsfy,edf30dsfy,edf82dsffw,ddsfs71**&%&,A
4476,ddfs30adsfy,bffdd27**^&$,cxscc36dsffw,edf35asdgfw,D
4477,H%d%60**&%&,edf71$*%^&,H%d%37xdff,edf85xdff,A
4478,sada48**^&$,ddsfs44**^&$,sada88xfsadf,bffdd91xdff,B
4479,#%%$93**^&$,#%%$40dsfy,#%%$91**^&$,H%d%56xdff,D
4480,ddfs93adsfy,**$@%71dsfy,sada32xdff,ddsfs67asdgfw,D
4481,#%%$59**&%&,H%d%68**^&$,dsfe88xfsadf,ddsfs41**^&$,D
4482,sada75adsfy,#%%$49adsfy,dsfe83dsfy,bffdd53$*%^&,B
4483,dsfe87**^&$,#%%$86vgfs,dsfe73**&%&,#%%$43$*%^&,C
4484,#%%$66dsffw,dsfe42$*%^&,**$@%40dsfy,cxscc64$*%^&,C
4485,bffdd92xfsadf,sada57$*%^&,#%%$32adsfy,#%%$38**^&$,D
4486,H%d%70**^&$,sada69xfsadf,bffdd68vgfs,edf62asdgfw,B
4487,#%%$94adsfy,#%%$74adsfy,edf54xfsadf,ddsfs58vgfs,B
4488,H%d%83xdff,bffdd93**^&$,ddfs73xdff,dsfe32xdff,A
4489,sada43vgfs,ddfs47dsffw,ddfs31dsfy,#%%$32dsffw,A
4490,#%%$47dsffw,cxscc59**&%&,ddfs48asdgfw,#%%$41vgfs,C
4491,ddfs51xfsadf,sada88asdgfw,**$@%55**^&$,ddsfs89$*%^&,B
4492,ddsfs91$*%^&,bffdd58dsfy,sada51dsfy,ddfs94dsfy,C
4493,**$@%49xfsadf,dsfe83dsfy,H%d%64**&%&,ddsfs64dsfy,D
4494,bffdd81**&%&,cxscc36**&%&,sada60**&%&,#%%$28**&%&,B
4495,#%%$69**^&$,ddfs34**^&$,bffdd48**^&$,**$@%80vgfs,B
4496,H%d%29dsfy,dsfe82dsfy,bffdd44xfsadf,H%d%25**&%&,B
4497,ddsfs91dsfy,cxscc93**&%&,ddsfs88vgfs,dsfe50dsffw,D
4498,bffdd33vgfs,ddfs91**&%&,ddfs56$*%^&,ddsfs92$*%^&,D
4499,ddfs86dsfy,ddfs74xdff,bffdd51asdgfw,**$@%28xfsadf,D
4500,bffdd26xfsadf,bffdd45dsfy,dsfe65xdff,edf91xfsadf,C
4501,bffdd27$*%^&,bffdd38vgfs,ddfs59adsfy,H%d%80adsfy,C
4502,#%%$83**^&$,**$@%26**&%&,ddfs39xfsadf,#%%$30**^&$,D
4503,ddfs36$*%^&,cxscc70xfsadf,ddsfs71adsfy,edf66vgfs,C
4504,sada37xfsadf,bffdd55$*%^&,#%%$30dsffw,dsfe65**&%&,B
4505,sada52asdgfw,ddsfs81vgfs,**$@%41dsffw,H%d%34asdgfw,B
4506,**$@%27**&%&,cxscc28asdgfw,dsfe74xfsadf,sada91**&%&,B
4507,H%d%81dsfy,H%d%48**&%&,H%d%78dsffw,dsfe86asdgfw,C
4508,#%%$30asdgfw,ddsfs51**^&$,cxscc48xdff,sada73dsffw,B
4509,sada66**^&$,dsfe44**&%&,sada91dsfy,**$@%43adsfy,D
4510,bffdd49xdff,edf37asdgfw,bffdd56xfsadf,ddsfs78$*%^&,D
4511,dsfe64asdgfw,bffdd64adsfy,sada48xdff,H%d%49asdgfw,C
4512,**$@%71vgfs,bffdd33$*%^&,bffdd45xdff,bffdd57**^&$,D
4513,**$@%85vgfs,H%d%64**^&$,#%%$55xfsadf,bffdd85**^&$,A
4514,bffdd67$*%^&,ddsfs52xfsadf,cxscc32adsfy,sada82dsffw,A
4515,#%%$43$*%^&,ddsfs77asdgfw,ddfs32xfsadf,ddsfs44asdgfw,D
4516,sada43asdgfw,edf74xdff,cxscc68asdgfw,ddfs48adsfy,C
4517,dsfe42**^&$,cxscc79**^&$,ddfs44xfsadf,#%%$78dsffw,A
4518,**$@%65asdgfw,dsfe41dsfy,edf52$*%^&,dsfe53adsfy,A
4519,#%%$53adsfy,sada58asdgfw,sada59dsfy,#%%$44xfsadf,A
4520,cxscc55xfsadf,**$@%37$*%^&,sada38**&%&,edf26dsfy,C
4521,#%%$52xdff,**$@%47$*%^&,**$@%70dsffw,ddsfs57adsfy,A
4522,bffdd49asdgfw,ddsfs31xfsadf,**$@%88asdgfw,cxscc77**^&$,A
4523,cxscc65asdgfw,ddsfs52vgfs,**$@%88xdff,#%%$53adsfy,D
4524,ddsfs88**^&$,H%d%45xdff,edf38**&%&,cxscc37$*%^&,C
4525,**$@%92**^&$,ddfs91asdgfw,ddfs74**&%&,**$@%37$*%^&,A
4526,ddsfs56vgfs,#%%$55$*%^&,ddsfs61adsfy,#%%$63$*%^&,C
4527,dsfe83dsfy,H%d%60xdff,ddsfs57xfsadf,#%%$94asdgfw,B
4528,dsfe47xfsadf,ddfs58adsfy,H%d%45adsfy,cxscc25$*%^&,B
4529,cxscc33dsffw,sada81xdff,dsfe93dsfy,#%%$54vgfs,A
4530,ddfs29adsfy,H%d%90dsffw,H%d%30vgfs,ddfs50vgfs,A
4531,dsfe80xdff,ddfs67asdgfw,dsfe44dsfy,dsfe30dsfy,B
4532,dsfe84dsffw,sada90**&%&,sada75vgfs,sada48adsfy,B
4533,cxscc91**&%&,dsfe38asdgfw,cxscc89xdff,ddsfs94asdgfw,B
4534,H%d%45dsffw,H%d%27**&%&,cxscc90**&%&,bffdd56xdff,D
4535,sada54vgfs,ddfs34dsffw,H%d%88adsfy,sada30adsfy,D
4536,**$@%83dsffw,sada70asdgfw,ddfs47dsfy,H%d%57vgfs,A
4537,#%%$84**^&$,sada61asdgfw,dsfe28adsfy,dsfe63xfsadf,A
4538,dsfe48xdff,cxscc47$*%^&,dsfe54dsfy,dsfe51adsfy,C
4539,**$@%52**&%&,H%d%65xdff,ddsfs49vgfs,cxscc44adsfy,D
4540,**$@%39dsffw,bffdd71vgfs,bffdd48asdgfw,cxscc69dsfy,A
4541,ddfs89vgfs,cxscc47xfsadf,ddfs35$*%^&,cxscc75adsfy,D
4542,bffdd91asdgfw,bffdd58xdff,dsfe82dsfy,**$@%30**&%&,C
4543,H%d%84asdgfw,ddsfs83**&%&,sada65dsffw,cxscc90adsfy,C
4544,bffdd35asdgfw,dsfe68xdff,ddsfs29**^&$,**$@%74adsfy,A
4545,**$@%79dsfy,cxscc44vgfs,**$@%90asdgfw,cxscc72asdgfw,B
4546,ddsfs76xdff,dsfe86**^&$,bffdd80adsfy,ddfs72adsfy,D
4547,ddsfs67$*%^&,ddfs37dsfy,H%d%74asdgfw,edf64asdgfw,C
4548,H%d%94asdgfw,#%%$41dsffw,cxscc25dsfy,sada77asdgfw,D
4549,ddfs60adsfy,sada56dsfy,#%%$44asdgfw,ddsfs50$*%^&,C
4550,sada41xfsadf,dsfe59dsfy,**$@%77**&%&,dsfe67**^&$,C
4551,edf61adsfy,ddsfs46vgfs,ddfs68**&%&,cxscc43dsfy,A
4552,**$@%66**&%&,#%%$31asdgfw,bffdd55vgfs,**$@%52**&%&,B
4553,cxscc94**&%&,ddfs37**^&$,cxscc80asdgfw,ddsfs54dsffw,B
4554,**$@%79xdff,cxscc41xfsadf,ddfs79vgfs,edf85$*%^&,C
4555,sada66dsfy,bffdd46dsffw,#%%$93xfsadf,ddsfs72dsffw,A
4556,dsfe60xdff,edf39asdgfw,H%d%54xdff,**$@%61$*%^&,D
4557,cxscc43xdff,edf32adsfy,ddfs68vgfs,cxscc75**^&$,A
4558,sada91$*%^&,bffdd71vgfs,dsfe36dsffw,#%%$60**&%&,C
4559,H%d%92**^&$,cxscc33vgfs,H%d%82$*%^&,#%%$32xfsadf,B
4560,dsfe31vgfs,sada47**&%&,ddfs56**^&$,sada60xfsadf,D
4561,**$@%53adsfy,**$@%93**^&$,#%%$87$*%^&,ddfs30**^&$,D
4562,#%%$75**^&$,H%d%54adsfy,H%d%40**^&$,ddfs58dsffw,D
4563,#%%$45vgfs,ddfs38xdff,cxscc63**&%&,ddsfs87**&%&,B
4564,ddsfs93vgfs,#%%$72**^&$,sada93$*%^&,#%%$89xfsadf,B
4565,ddfs80dsffw,dsfe34vgfs,edf61xfsadf,edf61dsfy,A
4566,sada94**^&$,ddfs71xfsadf,dsfe72$*%^&,ddfs77dsfy,A
4567,bffdd85asdgfw,H%d%27dsfy,H%d%61**&%&,sada49xdff,C
4568,ddsfs30dsfy,ddsfs80adsfy,bffdd44vgfs,**$@%32xdff,B
4569,cxscc68asdgfw,ddsfs70xdff,edf51dsffw,#%%$89adsfy,C
4570,bffdd87xfsadf,dsfe86**^&$,sada25dsffw,ddfs70$*%^&,D
4571,ddsfs91xdff,#%%$38**&%&,#%%$38xfsadf,dsfe44adsfy,C
4572,ddfs31**^&$,cxscc82asdgfw,ddfs84adsfy,ddfs63dsfy,D
4573,#%%$43asdgfw,cxscc28dsffw,edf82adsfy,**$@%39**^&$,D
4574,**$@%60**&%&,H%d%47vgfs,ddfs59vgfs,edf93xfsadf,D
4575,ddfs87**^&$,**$@%78dsffw,ddfs71dsfy,cxscc29dsfy,B
4576,ddsfs37xfsadf,bffdd94vgfs,sada86dsffw,ddsfs67asdgfw,B
4577,sada72dsfy,edf33vgfs,sada50asdgfw,ddfs29vgfs,D
4578,ddfs92**^&$,**$@%31**&%&,bffdd56**&%&,H%d%93adsfy,D
4579,sada38xdff,#%%$31asdgfw,edf60xdff,dsfe67$*%^&,B
4580,edf39xfsadf,**$@%88vgfs,edf94$*%^&,sada69$*%^&,C
4581,sada52dsffw,ddsfs85xdff,**$@%88$*%^&,ddsfs45xfsadf,D
4582,bffdd59**&%&,ddsfs53**^&$,bffdd86dsfy,**$@%91xfsadf,D
4583,sada54dsffw,cxscc77dsfy,**$@%53dsffw,cxscc36dsfy,C
4584,#%%$62xfsadf,sada45asdgfw,bffdd75vgfs,ddfs60dsfy,C
4585,ddfs40asdgfw,bffdd53dsffw,cxscc42**&%&,H%d%58dsfy,B
4586,H%d%25**&%&,**$@%27asdgfw,**$@%27adsfy,cxscc33dsffw,A
4587,**$@%78adsfy,ddfs66dsfy,bffdd48xfsadf,edf78asdgfw,D
4588,dsfe38adsfy,dsfe81dsfy,bffdd26$*%^&,sada29xfsadf,C
4589,#%%$39xdff,#%%$61xfsadf,H%d%57asdgfw,H%d%54xfsadf,D
4590,sada37asdgfw,cxscc40asdgfw,sada89adsfy,ddfs29adsfy,C
4591,ddfs82adsfy,#%%$81adsfy,**$@%49dsfy,edf87dsffw,D
4592,ddfs27$*%^&,dsfe35vgfs,H%d%83xdff,sada34vgfs,D
4593,**$@%59vgfs,cxscc68$*%^&,dsfe54xdff,ddsfs32vgfs,B
4594,**$@%82xdff,#%%$75$*%^&,**$@%27xfsadf,H%d%88dsfy,A
4595,**$@%33$*%^&,edf65adsfy,edf61vgfs,edf54xfsadf,C
4596,bffdd26$*%^&,ddsfs79dsfy,dsfe66**^&$,H%d%90vgfs,B
4597,ddsfs45adsfy,cxscc86asdgfw,edf52vgfs,bffdd76xfsadf,C
4598,cxscc50xdff,sada76xdff,cxscc59**^&$,dsfe26xdff,C
4599,bffdd64vgfs,**$@%69dsfy,ddsfs68**^&$,edf33dsfy,B
4600,#%%$59dsffw,ddfs90dsffw,cxscc30dsfy,**$@%47dsffw,D
4601,sada88dsffw,ddfs46asdgfw,dsfe59xfsadf,H%d%57xdff,C
4602,**$@%72asdgfw,sada51xdff,H%d%26asdgfw,ddsfs40xfsadf,A
4603,**$@%65adsfy,bffdd48asdgfw,sada51asdgfw,H%d%31**^&$,A
4604,**$@%74dsfy,sada64$*%^&,ddsfs28**^&$,**$@%57vgfs,B
4605,edf80xdff,bffdd28asdgfw,**$@%41xfsadf,bffdd42dsfy,C
4606,ddfs29dsffw,sada86dsffw,H%d%70xdff,sada46**^&$,C
4607,edf78vgfs,sada65xfsadf,bffdd74xdff,H%d%90**^&$,A
4608,sada82dsfy,bffdd56xfsadf,sada25vgfs,bffdd66vgfs,B
4609,sada48vgfs,sada68**&%&,ddsfs35dsffw,dsfe41$*%^&,B
4610,sada32dsffw,H%d%67xdff,#%%$63xfsadf,#%%$36dsfy,C
4611,cxscc43asdgfw,**$@%91**&%&,edf85**&%&,H%d%60**^&$,D
4612,H%d%94vgfs,dsfe48$*%^&,bffdd73**&%&,ddfs41vgfs,C
4613,**$@%63vgfs,H%d%80**&%&,#%%$80**&%&,cxscc84dsffw,B
4614,cxscc69adsfy,ddfs83xdff,#%%$45asdgfw,**$@%72**^&$,C
4615,bffdd41xdff,ddsfs64dsfy,edf33**^&$,sada42asdgfw,A
4616,bffdd70xfsadf,H%d%91adsfy,ddsfs42dsffw,edf75**&%&,A
4617,ddfs65asdgfw,ddfs51dsfy,bffdd50xfsadf,#%%$52dsffw,A
4618,dsfe52vgfs,#%%$30dsffw,edf45**&%&,H%d%63asdgfw,A
4619,sada50vgfs,cxscc93xfsadf,H%d%78dsffw,edf41**&%&,D
4620,**$@%48xdff,#%%$92**^&$,cxscc92dsfy,ddsfs51dsfy,C
4621,ddsfs44**&%&,edf83$*%^&,ddfs79xfsadf,#%%$82adsfy,B
4622,**$@%72xdff,bffdd67xfsadf,ddfs44xfsadf,dsfe39adsfy,C
4623,ddfs86dsffw,H%d%93**^&$,sada64vgfs,dsfe54dsffw,A
4624,ddfs47asdgfw,cxscc80dsffw,**$@%28$*%^&,H%d%79dsfy,B
4625,cxscc75$*%^&,dsfe70dsffw,#%%$47**&%&,ddsfs94dsffw,D
4626,ddfs83**&%&,ddfs80xfsadf,sada41vgfs,edf87**&%&,B
4627,#%%$43vgfs,ddfs73dsfy,ddsfs65**&%&,ddfs85$*%^&,D
4628,dsfe39dsfy,edf26$*%^&,H%d%51vgfs,edf39adsfy,B
4629,**$@%76dsfy,bffdd74**^&$,dsfe91vgfs,cxscc36xdff,B
4630,ddsfs74**^&$,bffdd57dsffw,bffdd77xdff,ddfs79$*%^&,A
4631,#%%$56**^&$,dsfe36dsffw,sada79dsffw,H%d%27**^&$,C
4632,edf27xfsadf,bffdd94asdgfw,#%%$36xfsadf,**$@%91**^&$,B
4633,**$@%32adsfy,bffdd82asdgfw,edf70xfsadf,H%d%38**&%&,B
4634,bffdd90dsffw,dsfe59dsffw,edf66adsfy,ddsfs83xdff,C
4635,edf84**&%&,cxscc51xfsadf,#%%$41xfsadf,dsfe27**^&$,C
4636,#%%$54**&%&,sada79vgfs,#%%$73**^&$,bffdd73**&%&,A
4637,bffdd84**&%&,ddsfs67asdgfw,**$@%51xdff,#%%$55dsfy,C
4638,cxscc50$*%^&,H%d%49vgfs,#%%$90**&%&,edf81xdff,B
4639,edf37xfsadf,sada44xfsadf,edf69dsfy,sada83xfsadf,B
4640,cxscc80**&%&,sada34xfsadf,cxscc40dsffw,bffdd53xfsadf,D
4641,cxscc68xdff,ddfs44vgfs,dsfe57vgfs,cxscc70dsfy,D
4642,ddsfs84$*%^&,sada28dsffw,dsfe69**&%&,bffdd82xfsadf,A
4643,bffdd87$*%^&,H%d%30adsfy,H%d%75$*%^&,H%d%36asdgfw,D
4644,**$@%83asdgfw,dsfe28dsfy,**$@%64xfsadf,ddfs50$*%^&,B
4645,dsfe93**&%&,**$@%90vgfs,#%%$68**^&$,#%%$26adsfy,A
4646,ddfs90asdgfw,sada44**^&$,ddsfs58dsfy,edf46dsfy,A
4647,bffdd91**&%&,dsfe63vgfs,cxscc82dsfy,ddfs65$*%^&,B
4648,ddsfs56**&%&,ddsfs62adsfy,edf32xfsadf,bffdd77adsfy,A
4649,sada89$*%^&,cxscc89$*%^&,dsfe90vgfs,cxscc54vgfs,C
4650,edf26xdff,**$@%53dsfy,**$@%25dsffw,dsfe56xfsadf,B
4651,edf88xfsadf,edf81xfsadf,ddsfs31xfsadf,ddsfs69xdff,B
4652,ddfs86vgfs,ddfs39xfsadf,#%%$46xdff,bffdd39dsfy,B
4653,dsfe70**&%&,ddfs65asdgfw,dsfe56asdgfw,**$@%72xdff,C
4654,**$@%27**&%&,**$@%62**^&$,sada57**&%&,**$@%73**&%&,C
4655,edf63adsfy,sada81dsffw,dsfe60asdgfw,bffdd57adsfy,B
4656,cxscc92**&%&,ddfs42**&%&,sada42asdgfw,ddsfs27xfsadf,B
4657,**$@%29xfsadf,#%%$66asdgfw,H%d%84adsfy,#%%$54adsfy,B
4658,cxscc52**^&$,**$@%81xdff,ddsfs72asdgfw,sada67adsfy,D
4659,bffdd66vgfs,sada75adsfy,sada85vgfs,edf79asdgfw,D
4660,#%%$41xdff,ddsfs38vgfs,bffdd68adsfy,bffdd59**&%&,C
4661,sada77dsffw,bffdd46dsfy,H%d%61adsfy,bffdd63dsffw,B
4662,ddsfs54adsfy,edf79xfsadf,edf56xfsadf,ddfs89**^&$,B
4663,#%%$30xdff,bffdd61$*%^&,H%d%57dsffw,ddsfs89asdgfw,A
4664,dsfe50**&%&,**$@%84asdgfw,dsfe78**^&$,sada64adsfy,A
4665,cxscc94dsfy,**$@%49adsfy,#%%$33vgfs,#%%$58**&%&,C
4666,ddfs48asdgfw,bffdd42dsffw,ddfs30**&%&,dsfe75vgfs,A
4667,ddfs62dsffw,ddfs56$*%^&,edf67dsfy,sada71vgfs,A
4668,sada51**&%&,#%%$52**^&$,bffdd65asdgfw,dsfe85adsfy,C
4669,bffdd75adsfy,ddfs76**^&$,ddfs37$*%^&,#%%$91xfsadf,C
4670,#%%$29adsfy,#%%$77adsfy,cxscc43dsfy,cxscc40xdff,C
4671,#%%$81**&%&,ddfs44adsfy,**$@%41dsffw,cxscc61**&%&,B
4672,edf91xdff,ddsfs34dsfy,ddsfs43dsffw,bffdd42asdgfw,A
4673,cxscc83xdff,#%%$66**^&$,edf74xdff,H%d%27vgfs,D
4674,edf70$*%^&,cxscc71dsfy,**$@%76**&%&,dsfe73**&%&,B
4675,bffdd92asdgfw,**$@%49vgfs,#%%$44dsffw,edf70dsffw,A
4676,ddfs28dsfy,dsfe31vgfs,dsfe90xfsadf,sada38**&%&,A
4677,ddfs39xfsadf,edf42xfsadf,sada31$*%^&,#%%$54dsfy,D
4678,**$@%53xdff,#%%$54**&%&,**$@%56xdff,sada35dsfy,A
4679,sada40xfsadf,H%d%57xfsadf,dsfe34**^&$,dsfe49**&%&,A
4680,#%%$67$*%^&,ddsfs31vgfs,#%%$30vgfs,edf33$*%^&,D
4681,H%d%93**^&$,#%%$78**^&$,#%%$89dsfy,ddfs80adsfy,C
4682,**$@%35**&%&,bffdd42vgfs,ddsfs62xdff,ddfs45adsfy,C
4683,bffdd37xfsadf,dsfe26xdff,ddfs61**^&$,**$@%33xfsadf,D
4684,dsfe83asdgfw,#%%$90asdgfw,**$@%27xfsadf,edf45asdgfw,D
4685,ddfs62dsffw,#%%$25asdgfw,ddsfs45**&%&,cxscc28dsfy,B
4686,cxscc79vgfs,**$@%68vgfs,ddfs59xfsadf,ddsfs63**&%&,C
4687,ddsfs76$*%^&,bffdd45xfsadf,dsfe67dsffw,edf92$*%^&,C
4688,#%%$40asdgfw,edf50vgfs,**$@%67dsffw,H%d%68dsfy,C
4689,edf42dsffw,dsfe55xdff,cxscc79dsfy,#%%$33dsfy,C
4690,sada58**^&$,**$@%30xfsadf,edf86vgfs,dsfe32dsfy,B
4691,#%%$34dsffw,ddfs31xdff,H%d%92xfsadf,sada57xfsadf,B
4692,dsfe77asdgfw,bffdd82xdff,ddsfs90adsfy,cxscc54xfsadf,B
4693,bffdd47asdgfw,H%d%41dsfy,bffdd80dsffw,**$@%85$*%^&,D
4694,dsfe53$*%^&,edf61$*%^&,ddfs86$*%^&,H%d%40dsffw,C
4695,bffdd89dsffw,edf88$*%^&,cxscc49vgfs,edf64$*%^&,D
4696,dsfe87adsfy,edf25dsffw,cxscc63adsfy,edf75adsfy,D
4697,ddfs63xfsadf,**$@%86dsfy,dsfe71dsfy,H%d%40$*%^&,C
4698,dsfe32dsfy,ddfs54dsffw,bffdd66xdff,bffdd56dsffw,B
4699,edf36**&%&,dsfe89vgfs,bffdd44adsfy,ddsfs33**^&$,B
4700,ddfs35**^&$,**$@%63vgfs,H%d%42adsfy,sada42xdff,A
4701,H%d%46dsffw,ddsfs59dsffw,dsfe39xfsadf,**$@%71dsffw,C
4702,ddsfs65asdgfw,ddfs60adsfy,**$@%44xdff,dsfe71xfsadf,D
4703,sada78**&%&,cxscc34dsffw,**$@%86**&%&,edf26**^&$,C
4704,cxscc78**^&$,#%%$66**&%&,#%%$29vgfs,ddfs69$*%^&,D
4705,bffdd44xfsadf,cxscc65adsfy,bffdd92**&%&,H%d%43asdgfw,C
4706,sada91**&%&,cxscc33dsffw,sada92xdff,ddfs81**^&$,D
4707,bffdd94**&%&,H%d%74dsfy,ddfs82**^&$,**$@%67**^&$,A
4708,ddsfs44dsfy,edf89dsfy,#%%$30dsffw,cxscc28asdgfw,B
4709,ddsfs27xdff,ddsfs90**^&$,**$@%81xfsadf,bffdd85dsffw,C
4710,ddfs25asdgfw,edf71dsfy,#%%$48xdff,bffdd72vgfs,B
4711,edf63dsfy,bffdd44dsffw,ddsfs50dsffw,ddfs77asdgfw,C
4712,ddfs34vgfs,#%%$43dsffw,cxscc34xfsadf,#%%$47**^&$,D
4713,**$@%29asdgfw,sada55**^&$,sada52**^&$,dsfe88dsffw,C
4714,H%d%87vgfs,#%%$58xfsadf,cxscc88$*%^&,H%d%40**&%&,D
4715,ddsfs26asdgfw,ddfs59xdff,**$@%63**&%&,dsfe92adsfy,A
4716,#%%$84**^&$,cxscc60xdff,edf86xfsadf,**$@%35**&%&,A
4717,**$@%81dsfy,cxscc25dsfy,cxscc57adsfy,cxscc44adsfy,C
4718,edf46xfsadf,H%d%93**^&$,ddsfs30dsffw,sada49dsfy,C
4719,ddsfs41xdff,#%%$45adsfy,sada65xfsadf,ddfs84adsfy,D
4720,**$@%37**^&$,dsfe33dsffw,#%%$56adsfy,edf51**&%&,C
4721,sada56**&%&,#%%$70adsfy,dsfe51dsfy,edf84vgfs,C
4722,edf25dsfy,cxscc72**&%&,cxscc70**&%&,cxscc70vgfs,A
4723,ddfs63dsffw,bffdd87xfsadf,dsfe92vgfs,edf31dsfy,C
4724,dsfe34$*%^&,edf73vgfs,cxscc68xdff,#%%$54xdff,C
4725,edf89vgfs,cxscc79asdgfw,H%d%55dsfy,ddfs58**^&$,A
4726,H%d%51**&%&,ddsfs75**^&$,dsfe68adsfy,ddsfs81xdff,D
4727,**$@%46dsffw,H%d%47dsfy,**$@%28asdgfw,ddsfs35xdff,C
4728,ddsfs62dsfy,bffdd77xfsadf,dsfe88vgfs,bffdd78vgfs,B
4729,ddsfs34xdff,dsfe77dsffw,dsfe74dsfy,ddsfs65vgfs,B
4730,sada52adsfy,dsfe32adsfy,dsfe60asdgfw,ddfs36xdff,B
4731,ddsfs32**^&$,bffdd38dsffw,#%%$47dsfy,#%%$79adsfy,D
4732,ddsfs43xfsadf,ddfs62xfsadf,#%%$52adsfy,#%%$45xdff,C
4733,edf66dsfy,bffdd29**^&$,ddsfs49dsffw,#%%$60**&%&,D
4734,**$@%51xdff,dsfe58xfsadf,H%d%58**^&$,#%%$27asdgfw,D
4735,H%d%29dsffw,H%d%78vgfs,#%%$34**&%&,cxscc32$*%^&,B
